date,verse_title,phrase_indices,score,matches_woodruff,matches_scriptures,volume_title
"January 1, 1872 ",Doctrine and Covenants 128:21,"[(15473, 2890)]",0.78969,of the Church of Jesus Christ of Latterday Saints to,tribulations of this Church of Jesus Christ of Latterday Saints!,Doctrine and Covenants
"January 1, 1840 ",Romans 16:25,"[(5686, 1293)]",0.78944,god in preaching the gospel of Jesus Christ to the,according to my gospel and the preaching of Jesus Christ,New Testament
"July 2, 1840 ",Doctrine and Covenants 88:49,"[(7638, 2602)]",0.78902,The light shineth in darkness and and again the third,The light shineth in darkness and the darkness comprehendeth it,Doctrine and Covenants
"December 13, 1838 ",Doctrine and Covenants 76:14,"[(10918, 2523)]",0.78895,gospel of Jesus Christ or the fulness of it and,bear is the fulness of the gospel of Jesus Christ,Doctrine and Covenants
"April 30, 1843 ",2 Nephi 28:26,"[(8443, 1627)]",0.78878,of the gift of the Holy Ghost and in no,of men and denieth the power of God and the gift of the Holy Ghost!,Book of Mormon
"April 30, 1843 ",Alma 9:21,"[(8443, 1853)]",0.78848,of the gift of the Holy Ghost and in no,the gift of the Holy Ghost and the gift of translation,Book of Mormon
"April 11, 1852 ",Doctrine and Covenants 95:12,"[(22149, 2637)]",0.78804,love me they will keep my commandments if you want,If you keep not my commandments the love of the,Doctrine and Covenants
"December 31, 1844 ",Doctrine and Covenants 138:53,"[(10554, 3073)]",0.7877,with Joseph Smith Jr and Hyrum Smith the prophet and,The Prophet Joseph Smith and my father Hyrum Smith Brigham,Doctrine and Covenants
"October 6, 1868 ",Doctrine and Covenants 128:21,"[(16652, 2890)]",0.78744,of the Church of Jesus Christ of Latterday Saints in,tribulations of this Church of Jesus Christ of Latterday Saints!,Doctrine and Covenants
"July 2, 1840 ",Articles of Faith 1:4,"[(7596, 3289), (7597, 3290)]",0.78728,Preach the Baptism of repentance for remission of Sins and the gift of the Holy Ghost by the laying on,Repentance third Baptism by immersion for the remission of sins fourth Laying on of hands for the gift of the Holy Ghost,Pearl of Great Price
"January 21, 1847 ",Genesis 31:53,"[(17770, 39)]",0.78722,the God of your Fathers the God of Abraham and,The God of Abraham and the God of Nahor the,Old Testament
"April 30, 1843 ",Doctrine and Covenants 68:25,"[(8443, 2504)]",0.78687,of the gift of the Holy Ghost and in no,and the gift of the Holy Ghost by the laying,Doctrine and Covenants
"September 8, 1851 ",3 Nephi 24:10,"[(20297, 2101)]",0.78668,a blessing that there will not be room to receive,a blessing that there shall not be room enough to receive it,Book of Mormon
"July 23, 1847 ",Nehemiah 11:35,"[(25017, 669)]",0.78668,miles to the valley of the Great Salt Lake Valley,Lod and Ono the valley of craftsmen,Old Testament
"September 8, 1851 ",Malachi 3:10,"[(20297, 1120)]",0.78668,a blessing that there will not be room to receive,a blessing that there shall not be room enough to receive it,Old Testament
"January 1, 1872 ",Doctrine and Covenants 127:12,"[(15473, 2828)]",0.7863,of the Church of Jesus Christ of Latterday Saints to,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints,Doctrine and Covenants
"December 31, 1844 ",Judges 11:26,"[(10520, 333)]",0.78626,the following towns and Cities Towns and Cities States Towns,Aroer and her towns and in all the cities that,Old Testament
"December 12, 1838 ",Joseph Smith--Matthew 1:48,"[(10891, 3187)]",0.78614,hour as ye think not the son of man cometh,Therefore be ye also ready for in such an hour as ye think not the Son of Man cometh,Pearl of Great Price
"December 12, 1838 ",Matthew 24:44,"[(10891, 1169)]",0.78614,hour as ye think not the son of man cometh,Therefore be ye also ready for in such an hour as ye think not the Son of man cometh,New Testament
"September 10, 1843 ",Micah 4:1,"[(11544, 1048)]",0.78601,it should come to pass in the last days that,But in the last days it shall come to pass,Old Testament
"January 21, 1844 ",Doctrine and Covenants 98:16,"[(10709, 2644)]",0.786,the hearts of the children to their fathers lest I,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:20,"[(17766, 3022)]",0.78598,seek ye and keep all your pledges one with another,Seek ye and keep all your pledges one with another and covet not that which is thy brother's,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:32,"[(17798, 3043)]",0.78586,his ears opened that he may hear for my spirit,may be opened that he may see and his ears opened that he may hear,Doctrine and Covenants
"September 10, 1843 ",Luke 21:24,"[(11525, 1223)]",0.78571,the gentiles until the times of the gentiles be fulfilled,Jerusalem shall be trodden down of the Gentiles until the times of the Gentiles be fulfilled,New Testament
"February 23, 1845 ",Joseph Smith--History 1:1,"[(6529, 3190)]",0.78472,progress of the Church of Jesus Christ of Latter day,rise and progress of The Church of Jesus Christ of,Pearl of Great Price
"June 26, 1843 ",Joseph Smith--History 1:1,"[(9811, 3190)]",0.78472,progress of the Church of Jesus Christ of Latter Day,rise and progress of The Church of Jesus Christ of,Pearl of Great Price
"October 6, 1868 ",Doctrine and Covenants 127:12,"[(16652, 2828)]",0.78407,of the Church of Jesus Christ of Latterday Saints in,Lord prophet and seer of The Church of Jesus Christ of Latterday Saints,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:32,"[(17797, 3043)]",0.78381,his eyes may be opened that he may see and,may be opened that he may see and his ears opened that he may hear,Doctrine and Covenants
"June 27, 1839 ",2 Nephi 9:9,"[(5665, 1551)]",0.78342,he transforms himself nigh unto an angel of light When,transformeth himself nigh unto an angel of light and stirreth,Book of Mormon
"August 28, 1846 ",1 Samuel 24:18,"[(17320, 368)]",0.7828,Son thou hast spoken well I have all thou hast,And thou hast shewed this day how that thou hast,Old Testament
"October 7, 1867 ",Doctrine and Covenants 135:6,"[(16387, 2982)]",0.78207,read the Bible Book of Mormon and Doctrine and Covenants,Book of Mormon and this book of Doctrine and Covenants,Doctrine and Covenants
"September 10, 1843 ",Doctrine and Covenants 95:4,"[(11445, 2635)]",0.78199,vineyard to prune the vineyard once more for the last,to prune my vineyard for the last time that I,Doctrine and Covenants
"September 19, 1836 ",3 Nephi 20:13,"[(33, 2077)]",0.78147,from the East and from the West and that that,the east and from the west and from the south,Book of Mormon
"September 9, 1838 ",Jeremiah 31:8,"[(8310, 888)]",0.78119,that travaileth with child together and a great company shall,and her that travaileth with child together a great company shall return thither,Old Testament
"October 20, 1855 ",2 Corinthians 13:5,"[(13587, 1324)]",0.78109,"text ""examine yourselves whether ye be in the faith or",Examine yourselves whether ye be in the faith prove your,New Testament
"April 30, 1847 ",1 Kings 3:15,"[(24268, 390)]",0.78097,awoke and behold it was a dream 11 m May,And Solomon awoke and behold it was a dream And,Old Testament
"March 2, 1849 ",Deuteronomy 33:17,"[(17995, 254)]",0.78089,Joseph used to push the people together from the ends,he shall push the people together to the ends of,Old Testament
"March 8, 1839 ",Mormon 9:29,"[(5227, 2134)]",0.78078,in the in the name of Jesus Christ I did,in the name of Jesus Christ the Son of the,Book of Mormon
"October 20, 1855 ",Luke 1:13,"[(13484, 1191)]",0.78056,"""And the Angel said unto them fear not for behold",But the angel said unto him Fear not Zacharias for,New Testament
"January 21, 1847 ",Jeremiah 44:28,"[(17772, 942)]",0.78047,the children of Israel out of the Land of Egypt,out of the land of Egypt into the land of,Old Testament
"November 21, 1852 ",Matthew 8:11,"[(22379, 1137)]",0.78023,sit down with Abraham Isaac and Jacob in the kingdom,the east and west and shall sit down with Abraham and Isaac and Jacob in the kingdom of heaven,New Testament
"July 12, 1837 ",Ezekiel 1:10,"[(7759, 963)]",0.77995,face to face and teach them the things of the,the face of a man and the face of a,Old Testament
"January 13, 1856 ",Ezra 2:57,"[(12522, 609)]",0.77977,to the children and the hearts of the children to,The children of Shephatiah the children of Hattil the children of Pochereth of Zebaim the children of Ami,Old Testament
"September 10, 1843 ",Isaiah 11:11,"[(11545, 750)]",0.77972,God should set his hand again the second time to,the Lord shall set his hand again the second time,Old Testament
"September 10, 1843 ",2 Nephi 21:11,"[(11545, 1590)]",0.77972,God should set his hand again the second time to,the Lord shall set his hand again the second time,Book of Mormon
"September 21, 1840 ",Acts 1:3,"[(2321, 1260)]",0.7795,in the things pertaining to the church and kingdom of,and speaking of the things pertaining to the kingdom of God,New Testament
"June 1, 1843 ",1 Corinthians 16:23,"[(9586, 1313)]",0.77918,the grace of Jesus Christ our Lord be and abide,The grace of our Lord Jesus Christ be with you,New Testament
"August 5, 1838 ",Doctrine and Covenants 63:58,"[(8246, 2470)]",0.77915,day of warning and not of many words this is,For this is a day of warning and not a,Doctrine and Covenants
"April 11, 1852 ",Moroni 5:2,"[(22185, 2198)]",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the,Book of Mormon
"April 11, 1852 ",Doctrine and Covenants 20:77,"[(22185, 2304)]",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the,Doctrine and Covenants
"April 11, 1852 ",Moroni 4:3,"[(22185, 2189)]",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the,Book of Mormon
"April 11, 1852 ",Doctrine and Covenants 20:79,"[(22185, 2313)]",0.77898,O God the Eternal Father I ask in the name,O God the Eternal Father we ask thee in the,Doctrine and Covenants
"April 6, 1852 ",Ether 2:16,"[(21190, 2143)]",0.77888,I said I would go to work and build a,And the Lord said Go to work and build after,Book of Mormon
January 19 1840 ,Moroni 4:3,"[(5784, 2189)]",0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the,Book of Mormon
January 19 1840 ,Moroni 5:2,"[(5784, 2198)]",0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the,Book of Mormon
January 19 1840 ,Doctrine and Covenants 20:77,"[(5784, 2304)]",0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the,Doctrine and Covenants
January 19 1840 ,Doctrine and Covenants 20:79,"[(5784, 2313)]",0.77886,God the Eternal Father I ask the[e] in the name,O God the Eternal Father we ask thee in the,Doctrine and Covenants
"January 29, 1854 ",Mosiah 18:13,"[(14609, 1784)]",0.77869,time the spirit of the Lord was poured out upon,and may the Spirit of the Lord be poured out,Book of Mormon
"December 16, 1867 ",Ephesians 1:17,"[(16481, 1330)]",0.77859,was the Father of Jesus Christ and was our God,That the God of our Lord Jesus Christ the Father,New Testament
"October 2, 1856 ",Doctrine and Covenants 124:125,"[(11927, 2803)]",0.77773,to be a prophet seer and Revelator in the church,presiding elder over all my church to be a translator a revelator a seer and prophet,Doctrine and Covenants
"February 12, 1841 ",Isaiah 28:19,"[(3984, 783)]",0.77751,Dust it shall be a vexation to understand the report,day and by night and it shall be a vexation only to understand the report,Old Testament
"September 10, 1836 ",Doctrine and Covenants 135:6,"[(10, 2982)]",0.77747,the Book of Doctrine and Covenants and Prayer by the,Book of Mormon and this book of Doctrine and Covenants,Doctrine and Covenants
"January 13, 1856 ",Ruth 1:1,"[(12623, 352)]",0.77702,to go to a certain man in a certain street,And a certain man of Bethlehemjudah went to sojourn in,Old Testament
"February 23, 1848 ",Doctrine and Covenants 84:69,"[(25511, 2560)]",0.77617,eyes of the blind and unstop the ears of the,In my name they shall open the eyes of the blind and unstop the ears of the deaf,Doctrine and Covenants
"July 3, 1853 ",Deuteronomy 30:19,"[(23758, 248)]",0.77578,his text I have set before you life and death,you that I have set before you life and death,Old Testament
"January 13, 1856 ",Joseph Smith--History 1:38,"[(12520, 3230)]",0.7757,the coming of the great and Dreadful day of the,Elijah the prophet before the coming of the great and dreadful day of the Lord,Pearl of Great Price
"September 8, 1851 ",Numbers 15:3,"[(20169, 160)]",0.77529,will make an Offering to the Lord and to the,And will make an offering by fire unto the Lord,Old Testament
"January 13, 1856 ",Malachi 4:6,"[(12521, 1127), (12522, 1128), (12523, 1129)]",0.77505,"Lord"" ""And He shall turn the Hearts of the Fathers to the children and the hearts of the children to their Fathers lest I come and smite the Earth with",And he shall turn the heart of the fathers to the children and the heart of the children to their fathers lest I come and smite the earth with a curse,Old Testament
"January 13, 1856 ",3 Nephi 25:6,"[(12521, 2108), (12522, 2109), (12523, 2110)]",0.77505,"Lord"" ""And He shall turn the Hearts of the Fathers to the children and the hearts of the children to their Fathers lest I come and smite the Earth with",And he shall turn the heart of the fathers to the children and the heart of the children to their fathers lest I come and smite the earth with a curse,Book of Mormon
"April 30, 1854 ",Hebrews 11:1,"[(14078, 1360)]",0.77487,hoped for and the evidence of things not seen have,Now faith is the substance of things hoped for the evidence of things not seen,New Testament
"June 3, 1866 ",John 12:32,"[(16063, 1244)]",0.77436,"""if I am lifted up I will draw all men",And I if I be lifted up from the earth will draw all men unto me,New Testament
"March 23, 1870 ",3 Nephi 9:2,"[(15189, 2027)]",0.77335,and Kingdom upon the Earth and wo wo is their,Wo wo wo unto this people wo unto the inhabitants,Book of Mormon
"February 20, 1845 ",Revelation 6:15,"[(6414, 1407)]",0.77218,Kings and great men of the earth would call for,And the kings of the earth and the great men,New Testament
"November 21, 1852 ",1 Nephi 8:33,"[(22400, 1475)]",0.77217,the New Jerrusalem they would point the finger of scorn,they did point the finger of scorn at me and,Book of Mormon
"October 21, 1855 ",Doctrine and Covenants 45:44,"[(12821, 2414)]",0.77211,will come From Heaven clothed with all that great Glory,of heaven clothed with power and great glory with all,Doctrine and Covenants
"July 2, 1840 ",Doctrine and Covenants 33:15,"[(7597, 2353)]",0.77123,the gift of the Holy Ghost by the laying on,by the laying on of the hands and I will bestow the gift of the Holy Ghost upon them,Doctrine and Covenants
"February 23, 1848 ",Revelation 14:13,"[(25479, 1418)]",0.77069,blessed are the dead who die in the Lord from,Write Blessed are the dead which die in the Lord,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:14,"[(17754, 3015)]",0.77018,a company Also let my servants Amasa Mason Lyman and,Also let my servants Amasa Lyman and George A Smith organize a company,Doctrine and Covenants
"April 7, 1844 ",Doctrine and Covenants 18:18,"[(637, 2265)]",0.76986,you shall receive the Holy ghost take a view of,you shall receive and you shall have the Holy Ghost,Doctrine and Covenants
"October 2, 1856 ",Acts 2:38,"[(11893, 1266)]",0.76986,the name of Jesus Christ and we bless you for,one of you in the name of Jesus Christ for,New Testament
"March 10, 1844 ",Doctrine and Covenants 53:3,"[(8662, 2439)]",0.7698,preach repentance and Baptism for the remission of sins and,to preach faith and repentance and remission of sins according,Doctrine and Covenants
"December 31, 1847 ",Doctrine and Covenants 68:11,"[(25288, 2494)]",0.76883,and in many of the signs of the times The,signs of the times and the signs of the coming of the Son of Man,Doctrine and Covenants
"October 26, 1840 ",Job 1:21,"[(10661, 684)]",0.76821,away and blessed be the name of the LORD May,the Lord hath taken away blessed be the name of the Lord,Old Testament
"February 18, 1855 ",Psalms 75:8,"[(13827, 702)]",0.76814,the right hand of the Lord there is not the,For in the hand of the Lord there is a,Old Testament
"April 30, 1843 ",Doctrine and Covenants 33:15,"[(8454, 2353)]",0.76775,gift of the Holy Ghost by the laying on of,by the laying on of the hands and I will bestow the gift of the Holy Ghost upon them,Doctrine and Covenants
"February 15, 1849 ",Revelation 3:8,"[(17928, 1401)]",0.76743,can shut And shut And no man can open Her,an open door and no man can shut it for,New Testament
"January 22, 1843 ",Mark 13:31,"[(6044, 1186)]",0.76727,my words shall not pass away If a man is,Heaven and earth shall pass away but my words shall not pass away,New Testament
"January 22, 1843 ",Matthew 24:35,"[(6044, 1165)]",0.76727,my words shall not pass away If a man is,Heaven and earth shall pass away but my words shall not pass away,New Testament
"January 22, 1843 ",Luke 21:33,"[(6044, 1227)]",0.76727,my words shall not pass away If a man is,Heaven and earth shall pass away but my words shall not pass away,New Testament
"February 23, 1848 ",2 Nephi 2:25,"[(25467, 1534)]",0.76664,"should not have had ""Adam fell that men might be",Adam fell that men might be and men are that they might have joy,Book of Mormon
"December 24, 1852 ",Articles of Faith 1:5,"[(22686, 3292)]",0.76653,through him by the laying on of hands and by,by prophecy and by the laying on of hands by,Pearl of Great Price
"August 18, 1844 ",Jacob 3:3,"[(1431, 1661)]",0.76578,see that all is right WO WO WO unto all,But wo wo unto you that are not pure in,Book of Mormon
"August 16, 1844 ",Doctrine and Covenants 18:32,"[(7061, 2269)]",0.76545,the power of the Holy Priesthood and the Holy Ghost,to the power of the Holy Ghost which is in,Doctrine and Covenants
"February 15, 1849 ",1 Nephi 13:37,"[(17948, 1495)]",0.76537,the power of God And the gift of the Holy,gift and the power of the Holy Ghost and if,Book of Mormon
"December 12, 1838 ",Luke 12:40,"[(10891, 1212)]",0.76467,hour as ye think not the son of man cometh,Be ye therefore ready also for the Son of man cometh at an hour when ye think not,New Testament
"January 13, 1856 ",Jacob 3:7,"[(12363, 1667)]",0.76433,Men have left their wives wives their husbands children their,their husbands and their husbands and their wives love their,Book of Mormon
"October 22, 1840 ",Psalms 137:5,"[(11083, 715)]",0.76433,and my right hand forget her cunning when I will,If I forget thee O Jerusalem let my right hand forget her cunning,Old Testament
"June 11, 1843 ",3 Nephi 10:4,"[(9594, 2038)]",0.76406,hen gathereth her chickens under wings But ye would not,a hen gathereth her chickens under her wings and have nourished you,Book of Mormon
"August 11, 1847 ",3 Nephi 25:6,"[(25123, 2109)]",0.76397,the fathers to the children and the children to their,the children and the heart of the children to their,Book of Mormon
"August 11, 1847 ",Malachi 4:6,"[(25123, 1128)]",0.76397,the fathers to the children and the children to their,the children and the heart of the children to their,Old Testament
"December 31, 1836 ",1 Kings 6:38,"[(169, 394)]",0.76384,day of the first month of the Eleventh year of,And in the eleventh year in the month Bul which,Old Testament
"July 18, 1845 ",1 Chronicles 6:58,"[(7183, 484)]",0.76366,well with her and with her child which was the,And Hilen with her suburbs Debir with her suburbs,Old Testament
"April 30, 1869 ",2 Chronicles 26:21,"[(14957, 581)]",0.76308,for which He was cut off from the Church May,a leper for he was cut off from the house,Old Testament
"August 18, 1844 ",Revelation 16:6,"[(1432, 1423)]",0.76285,who have shed the blood of the Saints and the,For they have shed the blood of saints and prophets,New Testament
"September 21, 1840 ",Doctrine and Covenants 94:3,"[(2321, 2633)]",0.76276,in the things pertaining to the church and kingdom of,and for the work of the ministry of the presidency in all things pertaining to the church and kingdom,Doctrine and Covenants
"June 10, 1845 ",1 Chronicles 6:79,"[(9916, 490)]",0.76272,with her I walked with her on her return home,Kedemoth also with her suburbs and Mephaath with her suburbs,Old Testament
"February 19, 1837 ",Doctrine and Covenants 107:56,"[(4699, 2700)]",0.76272,Lord and stood in the midst of the congregation of,And Adam stood up in the midst of the congregation,Doctrine and Covenants
"January 17, 1851 ",Doctrine and Covenants 93:26,"[(19536, 2625)]",0.76219,and truth in the spirit of God I spent the,The Spirit of truth is of God I am the,Doctrine and Covenants
"April 6, 1844 ",Doctrine and Covenants 45:9,"[(536, 2401)]",0.76194,of God to the world would be a light in,the world to be a light to the world and,Doctrine and Covenants
"January 22, 1843 ",Doctrine and Covenants 84:98,"[(6084, 2574)]",0.76181,would then see eye to eye and the blessings of,knowledge of the Lord and shall see eye to eye,Doctrine and Covenants
"March 25, 1845 ",Mormon 9:29,"[(4607, 2134)]",0.76177,in the name of Jesus Christ thy Son to look,in the name of Jesus Christ the Son of the,Book of Mormon
"December 20, 1850 ",Luke 8:10,"[(19436, 1203)]",0.76137,mysteries of the kingdom of God and the wisdom of,the mysteries of the kingdom of God but to others,New Testament
"March 10, 1844 ",Doctrine and Covenants 27:9,"[(8743, 2335)]",0.76128,hearts of the Fathers to the Children and the hearts,to the children and the hearts of the children to,Doctrine and Covenants
"February 16, 1845 ",Matthew 13:14,"[(6290, 1145)]",0.76124,night 4 m This day fulfilled a prophecy which I,And in them is fulfilled the prophecy of Esaias which,New Testament
"June 11, 1843 ",Alma 62:33,"[(9671, 1996)]",0.76119,that they are all in one body and one God,insomuch that they were all in one body in the,Book of Mormon
"August 18, 1844 ",Psalms 129:8,"[(1531, 714)]",0.76107,May the Lord bless you in the name of Jesus,the Lord be upon you we bless you in the name of the Lord,Old Testament
"October 19, 1851 ",Abraham 5:9,"[(20512, 3175)]",0.7606,knowledge of good Evil in the midst of the garden,of the garden and the tree of knowledge of good and evil,Pearl of Great Price
"October 7, 1856 ",Alma 9:21,"[(12128, 1853)]",0.75976,power of God and the gift of the Holy Ghost,the gift of the Holy Ghost and the gift of translation,Book of Mormon
"April 30, 1846 ",John 15:19,"[(17116, 1248)]",0.75972,persecutors If ye were of the world the world would,If ye were of the world the world would love,New Testament
"July 2, 1840 ",Doctrine and Covenants 53:3,"[(7596, 2439)]",0.75934,Preach the Baptism of repentance for remission of Sins and,to preach faith and repentance and remission of sins according,Doctrine and Covenants
"September 9, 1843 ",Alma 1:29,"[(2067, 1817)]",0.75916,we wanted all your gold silver and precious things and,and of gold and of silver and of precious things,Book of Mormon
"August 13, 1838 ",Mark 10:24,"[(8270, 1181)]",0.75886,"riches enter into the Kingdom of God"" For while one",it for them that trust in riches to enter into the kingdom of God!,New Testament
"January 21, 1847 ",1 Kings 8:9,"[(17772, 403)]",0.75861,the children of Israel out of the Land of Egypt,Lord made a covenant with the children of Israel when they came out of the land of Egypt,Old Testament
"February 23, 1848 ",Ecclesiastes 7:2,"[(25409, 721)]",0.75849,of mourning than to the House of feasting for that,than to go to the house of feasting for that,Old Testament
"March 10, 1844 ",Luke 1:17,"[(8752, 1194)]",0.7583,turn the hearts of the Fathers to the children and,power of Elias to turn the hearts of the fathers,New Testament
"January 21, 1844 ",Luke 1:17,"[(10708, 1194)]",0.7583,turn the hearts of the fathers to the children and,power of Elias to turn the hearts of the fathers,New Testament
"August 28, 1846 ",Ezekiel 16:37,"[(17320, 974)]",0.75824,Son thou hast spoken well I have all thou hast,thou hast taken pleasure and all them that thou hast,Old Testament
"October 7, 1856 ",Doctrine and Covenants 68:25,"[(12128, 2504)]",0.75821,power of God and the gift of the Holy Ghost,and the gift of the Holy Ghost by the laying,Doctrine and Covenants
"December 31, 1846 ",Revelation 16:6,"[(17561, 1423)]",0.75814,and the gentiles have shed the blood of the Prophets,For they have shed the blood of saints and prophets,New Testament
"August 27, 1844 ",Doctrine and Covenants 113:6,"[(1734, 2740)]",0.75803,Holy Priesthood and the Keys of the kingdom of God,the priesthood and the keys of the kingdom for an,Doctrine and Covenants
"March 29, 1838 ",Matthew 16:4,"[(4017, 1148)]",0.75776,that there should no sign be given but the sign,there shall no sign be given unto it but the,New Testament
"October 20, 1855 ",Doctrine and Covenants 107:56,"[(13529, 2700)]",0.75753,and stood in the midst of a congregation of saints,And Adam stood up in the midst of the congregation,Doctrine and Covenants
"June 19, 1840 ",John 17:14,"[(9100, 1252)]",0.75723,were not of the world but the world hated them,hated them because they are not of the world even as I am not of the world,New Testament
"January 21, 1847 ",Exodus 3:16,"[(17770, 71)]",0.75706,the God of your Fathers the God of Abraham and,unto them The Lord God of your fathers the God,Old Testament
"February 2, 1851 ",3 Nephi 25:6,"[(19558, 2110)]",0.75642,come and smite the whole Earth with a curse the,fathers lest I come and smite the earth with a curse,Book of Mormon
"February 2, 1851 ",Malachi 4:6,"[(19558, 1129)]",0.75642,come and smite the whole Earth with a curse the,fathers lest I come and smite the earth with a curse,Old Testament
"April 7, 1844 ",Joel 2:28,"[(651, 1027)]",0.7561,the last days pour out my spirit upon all flesh,pour out my spirit upon all flesh and your sons,Old Testament
"October 7, 1856 ",1 Nephi 10:17,"[(12128, 1490)]",0.75604,power of God and the gift of the Holy Ghost,Holy Ghost which is the gift of God unto all,Book of Mormon
"January 30, 1853 ",Abraham 1:17,"[(23217, 3168)]",0.75603,of God and the priesthood and Kingdom of God was,of Libnah and the god of Mahmackrah and the god,Pearl of Great Price
"July 18, 1845 ",1 Chronicles 6:81,"[(7183, 491)]",0.75538,well with her and with her child which was the,And Heshbon with her suburbs and Jazer with her suburbs,Old Testament
"July 18, 1845 ",1 Chronicles 6:75,"[(7183, 489)]",0.75538,well with her and with her child which was the,And Hukok with her suburbs and Rehob with her suburbs,Old Testament
"July 18, 1845 ",1 Chronicles 6:73,"[(7183, 488)]",0.75538,well with her and with her child which was the,And Ramoth with her suburbs and Anem with her suburbs,Old Testament
"July 18, 1845 ",1 Chronicles 6:69,"[(7183, 487)]",0.75538,well with her and with her child which was the,And Aijalon with her suburbs and Gathrimmon with her suburbs,Old Testament
"July 18, 1845 ",1 Chronicles 6:68,"[(7183, 486)]",0.75538,well with her and with her child which was the,And Jokmeam with her suburbs and Bethhoron with her suburbs,Old Testament
"July 18, 1845 ",1 Chronicles 6:59,"[(7183, 485)]",0.75538,well with her and with her child which was the,And Ashan with her suburbs and Bethshemesh with her suburbs,Old Testament
"July 18, 1845 ",Joshua 21:15,"[(7183, 320)]",0.75538,well with her and with her child which was the,And Holon with her suburbs and Debir with her suburbs,Old Testament
"July 18, 1845 ",Joshua 21:14,"[(7183, 319)]",0.75538,well with her and with her child which was the,And Jattir with her suburbs and Eshtemoa with her suburbs,Old Testament
"January 4, 1852 ",Ephesians 4:13,"[(20996, 1335)]",0.75505,unto him the Father and Son and a knowledge of,and of the knowledge of the Son of God unto,New Testament
"August 28, 1846 ",Genesis 19:19,"[(17320, 25)]",0.75503,Son thou hast spoken well I have all thou hast,and thou hast magnified thy mercy which thou hast shewed,Old Testament
"August 20, 1843 ",Matthew 24:14,"[(6757, 1163)]",0.75464,This gospel of the kingdom must be preached in all,And this gospel of the kingdom shall be preached in,New Testament
"June 7, 1840 ",Abraham 1:7,"[(9071, 3165)]",0.75461,Priest and in the afternoon several of the Priest and,Elkenah The priest of Elkenah was also the priest of Pharaoh,Pearl of Great Price
"November 11, 1855 ",Matthew 6:10,"[(13060, 1135)]",0.75446,and thy will be done on Earth as it is,Thy kingdom come Thy will be done in earth as it is in heaven,New Testament
"September 6, 1856 ",Doctrine and Covenants 82:18,"[(11649, 2556)]",0.75436,a benefit to the Church the History of this Church,And all this for the benefit of the church of,Doctrine and Covenants
"January 3, 1838 ",John 15:13,"[(2602, 1246)]",0.75422,greater love hath any man than that he lay down,Greater love hath no man than this that a man lay down his life for his friends,New Testament
"April 30, 1869 ",Acts 2:38,"[(14930, 1266)]",0.75397,I tell you in the name of Jesus Christ that,one of you in the name of Jesus Christ for,New Testament
"June 28, 1835 ",Alma 6:1,"[(3810, 1843)]",0.7539,of God to watch over the Church And on the,to the order of God to preside and watch over the church,Book of Mormon
"October 21, 1855 ",Isaiah 24:20,"[(12983, 772)]",0.7539,then the Earth will reel to and fro like a,The earth shall reel to and fro like a drunkard,Old Testament
"January 20, 1872 ",Doctrine and Covenants 45:9,"[(15628, 2401)]",0.75384,the world that light has come into the world and,the world to be a light to the world and,Doctrine and Covenants
"December 20, 1850 ",Doctrine and Covenants 55:2,"[(19403, 2450)]",0.75375,in the name of Jesus Christ the Son of the,way of baptism in the name of Jesus Christ the Son of the living God,Doctrine and Covenants
"April 15, 1837 ",Doctrine and Covenants 55:2,"[(957, 2450)]",0.75375,in the name of JESUS CHRIST the Son of the,way of baptism in the name of Jesus Christ the Son of the living God,Doctrine and Covenants
"October 9, 1856 ",Moroni 6:9,"[(12187, 2207)]",0.75354,full of the Holy Ghost and power of God the,power of the Holy Ghost for as the power of,Book of Mormon
"July 1, 1866 ",Doctrine and Covenants 120:1,"[(16108, 2754)]",0.75328,unto the First Presidency of the Church and Kingdom of,of the First Presidency of my Church and of the,Doctrine and Covenants
"January 17, 1866 ",2 Nephi 10:24,"[(14697, 1562)]",0.7532,devil and not the will of God President Young told,God and not to the will of the devil and,Book of Mormon
"June 28, 1837 ",Obadiah 1:17,"[(1262, 1046)]",0.75306,vers upon Mount Zion shall be deliverance and He spoke,But upon mount Zion shall be deliverance and there shall,Old Testament
"January 13, 1856 ",Doctrine and Covenants 128:17,"[(12523, 2866)]",0.75288,their Fathers lest I come and smite the Earth with,children and the heart of the children to their fathers lest I come and smite the earth with a curse,Doctrine and Covenants
"July 1, 1838 ",Ezekiel 29:17,"[(8075, 979)]",0.75269,day of the month and the first day of the,year in the first month in the first day of,Old Testament
